公司代码,公司简称,公司全称,英文名称,注册地址,A股代码,A股简称,A股上市日期,A股总股本,A股流通股本,B股代码,B股 简 称,B股上市日期,B股总股本,B股流通股本,地 区,省 份,城 市,所属行业,公司网址
000001,平安银行,平安银行股份有限公司,"Ping An Bank Co., Ltd.",广东省深圳市罗湖区深南东路5047号,1,平安银行,1991/4/3,"11,424,894,787","6,685,515,941",,,,0,0,华南,广东,深圳市,J 金融业,www.bank.pingan.com
000002,万 科Ａ,万科企业股份有限公司,"CHINA VANKE CO., LTD",广东省深圳市盐田区大梅沙环梅路33号万科中心,2,万 科Ａ,1991/1/29,"9,700,265,351","9,668,438,740",,,,0,0,华南,广东,深圳市,K 房地产,www.vanke.com
000004,国农科技,深圳中国农大科技股份有限公司,"SHENZHEN CAU TECHNOLOGY CO., LTD",广东省深圳市福田区商报路奥林匹克大厦6楼D-E,4,国农科技,1990/12/1,"83,976,684","83,817,017",,,,0,0,华南,广东,深圳市,C 制造业,www.sz000004.cn
000005,世纪星源,深圳世纪星源股份有限公司,SHENZHEN FOUNTAIN CORPORATION,广东省深圳市人民南路发展中心大厦13层,5,世纪星源,1990/12/10,"914,333,607","912,328,931",,,,0,0,华南,广东,深圳市,K 房地产,www.fountain.com.cn
000006,深振业Ａ,深圳市振业(集团)股份有限公司,"SHENZHEN ZHENYE(GROUP) CO.,LTD",广东省深圳市罗湖区宝安南路2014号振业大厦B座11-17层,6,深振业Ａ,1992/4/27,"1,349,995,046","1,337,631,652",,,,0,0,华南,广东,深圳市,K 房地产,www.zhenye.com
000007,零七股份,深圳市零七股份有限公司,"SHENZHEN Zero-Seven CO., LTD",广东省深圳市华强北路1058号现代之窗大厦A座25层,7,零七股份,1992/4/13,"230,965,363","205,624,479",,,,0,0,华南,广东,深圳市,H 住宿餐饮,
000008,宝利来,广东宝利来投资股份有限公司,BAOLILAI INVESTMENT CO.，LTD. GUANGDONG,广东省深圳市南山区东滨路4287号管理楼二楼,8,宝利来,1992/5/7,"303,601,640","147,199,578",,,,0,0,华南,广东,深圳市,H 住宿餐饮,
000009,中国宝安,中国宝安集团股份有限公司,"CHINA BAOAN GROUP CO.,LTD",广东省深圳市笋岗东路1002号宝安广场A座28-29层,9,中国宝安,1991/6/25,"1,505,235,729","1,488,794,659",,,,0,0,华南,广东,深圳市,S 综合,www.chinabaoan.com
000010,深华新,北京深华新股份有限公司,"BEIJING SHENHUAXIN CO., LTD",北京市延庆县百泉街10号2栋349室,10,深华新,1995/10/27,"588,069,788","270,399,776",,,,0,0,华北,北京,北京市,C 制造业,
000011,深物业A,深圳市物业发展(集团)股份有限公司,"SHENZHEN PROPERTIES & RESOURCES DEVELOPMENT (GROUP)CO., LTD",广东省深圳市人民南路国贸大厦39、42层,11,深物业A,1992/3/30,"528,373,849","175,831,365",200011,深物业B,1992/3/30,"67,605,243","67,605,243",华南,广东,深圳市,K 房地产,www.szwuye.com.cn
000012,南 玻Ａ,中国南玻集团股份有限公司,"CSG HOLDING CO.,LTD.",广东省深圳市蛇口工业六路一号南玻大厦,12,南 玻Ａ,1992/2/28,"1,312,751,568","1,302,758,385",200012,南 玻Ｂ,1992/2/28,"762,583,992","762,506,742",华南,广东,深圳市,C 制造业,www.csgholding.com
000014,沙河股份,沙河实业股份有限公司,"SHAHE INDUSTRIAL CO.,LTD.",广东省深圳市南山区白石路2222号沙河世纪楼,14,沙河股份,1992/6/2,"201,705,187","201,701,974",,,,0,0,华南,广东,深圳市,K 房地产,www.shahe.cn
000016,深康佳Ａ,康佳集团股份有限公司,"KONKA GROUP CO.,LTD",广东省深圳市南山区华侨城,16,深康佳Ａ,1992/3/27,"798,296,900","599,428,950",200016,深康佳Ｂ,1992/3/27,"405,675,804","405,675,804",华南,广东,深圳市,C 制造业,www.konka.com
000017,深中华A,深圳中华自行车(集团)股份有限公司,"SHENZHEN CHINA BICYCLE COMPANY(HOLDINGS) CO.,LTD",广东省深圳市布心路三零零八号,17,深中华A,1992/3/31,"302,984,965","302,963,614",200017,深中华B,1992/3/31,"248,362,982","248,359,762",华南,广东,深圳市,C 制造业,www.cbc.com.cn
000018,中冠A,深圳中冠纺织印染股份有限公司,"SHENZHEN VICTOR ONWARD TEXTILE INDUSTRIAL CO.,LTD",广东省深圳市龙岗区葵涌镇白石岗葵鹏路26号,18,中冠A,1992/6/16,"99,720,453","99,579,574",200018,中冠B,1992/6/16,"69,421,903","69,421,903",华南,广东,深圳市,C 制造业,www.udcgroup.com
000019,深深宝Ａ,深圳市深宝实业股份有限公司,"SHENZHEN SHENBAO INDUSTRIAL CO.,LTD",广东省深圳市福田区竹子林四路紫竹七道26号教育科技大厦塔楼20层南半层,19,深深宝Ａ,1992/10/12,"269,716,984","252,066,132",200019,深深宝Ｂ,1992/10/12,"31,363,200","31,363,200",华南,广东,深圳市,C 制造业,www.sbsy.com.cn
000020,深华发Ａ,深圳中恒华发股份有限公司,"SHENZHEN HUAFA ELECTRONICS CO., LTD.",广东省深圳市福田区华发北路411幢,20,深华发Ａ,1992/4/28,"181,165,391","64,656,289",200020,深华发Ｂ,1992/4/28,"101,995,836","101,995,836",华南,广东,深圳市,C 制造业,www.hwafa.com.cn
000021,长城开发,深圳长城开发科技股份有限公司,"SHENZHEN KAIFA TECHNOLOGY CO., LTD",广东省深圳市福田区彩田路7006号,21,长城开发,1994/2/2,"1,471,259,363","1,317,832,780",,,,0,0,华南,广东,深圳市,C 制造业,www.kaifa.com.cn
000022,深赤湾Ａ,深圳赤湾港航股份有限公司,Shenzhen Chiwan Wharf Holdings Limited,广东省深圳市赤湾,22,深赤湾Ａ,1993/5/5,"464,868,300","464,867,324",200022,深赤湾Ｂ,1993/5/5,"179,895,430","179,876,003",华南,广东,深圳市,G 运输仓储,www.szcwh.com
000023,深天地Ａ,深圳市天地(集团)股份有限公司,"SHENZHEN UNIVERSE (GROUP)CO.,LTD",广东省深圳市高新技术产业园北区朗山路东物商业大楼10楼,23,深天地Ａ,1993/4/29,"138,756,240","138,754,930",,,,0,0,华南,广东,深圳市,C 制造业,www.000023.cn
000024,招商地产,招商局地产控股股份有限公司,"CHINA MERCHANTS PROPERTY DEVELOPMENT CO., LTD",广东省深圳南山区蛇口工业区兴华路6号南海意库3号楼,24,招商地产,1993/6/7,"2,066,935,819","1,026,235,722",200024,招商局Ｂ,1993/6/7,"509,014,935","507,453,736",华南,广东,深圳市,K 房地产,www.cmpd.cn
000025,特 力Ａ,深圳市特力(集团)股份有限公司,"SHENZHEN TELLUS HOLDING CO.,LTD",广东省深圳市深南中路中核大厦,25,特 力Ａ,1993/6/21,"193,881,600","179,294,544",200025,特 力Ｂ,1993/6/21,"26,400,000","26,400,000",华南,广东,深圳市,F 批发零售,www.tellus.cn
000026,飞亚达Ａ,飞亚达（集团）股份有限公司,FIYTA HOLDINGS LTD.,广东省深圳市南山区高新南一道飞亚达科技大厦,26,飞亚达Ａ,1993/6/3,"311,119,870","311,070,137",200026,飞亚达Ｂ,1993/6/3,"81,648,000","81,648,000",华南,广东,深圳市,F 批发零售,www.fiytagroup.com
000027,深圳能源,深圳能源集团股份有限公司,"Shenzhen Energy Group Co., Ltd.",广东省深圳市福田区深南中路2068号华能大厦5，33，35-36，38-41层,27,深圳能源,1993/9/3,"2,642,994,398","958,349,975",,,,0,0,华南,广东,深圳市,D 水电煤气,www.sec.com.cn
000028,国药一致,国药集团一致药业股份有限公司,CHINA NATIONAL ACCORD MEDICINES CORPORATION LTD,广东省深圳市福田区八卦四路15号一致药业大楼,28,国药一致,1993/8/9,"307,746,343","233,261,812",200028,一致Ｂ,1993/8/9,"54,885,600","54,885,600",华南,广东,深圳市,F 批发零售,www.szaccord.com.cn
000029,深深房Ａ,深圳经济特区房地产(集团)股份有限公司,"SHENZHEN SPECIAL ECONOMIC ZONE REAL ESTATE（GROUP）CO.,LTD.",广东省深圳市人民南路3005号深房广场47楼,29,深深房Ａ,1993/9/15,"891,660,000","891,660,000",200029,深深房Ｂ,1994/1/10,"120,000,000","120,000,000",华南,广东,深圳市,K 房地产,www.sfjt.com.cn
000030,富奥股份,富奥汽车零部件股份有限公司,FAWER Automotive Parts Limited Company,吉林省长春市汽车经济技术开发区东风南街777号,30,富奥股份,1993/9/29,"1,259,095,140","496,720,681",200030,富奥B,1993/9/29,"39,600,000","39,600,000",东北,吉林,长春市,C 制造业,
000031,中粮地产,中粮地产（集团）股份有限公司,"COFCO PROPERTY (GROUP) CO.,LTD.",广东省深圳市宝安区新城二区湖滨路,31,中粮地产,1993/10/8,"1,813,731,596","1,813,720,079",,,,0,0,华南,广东,深圳市,K 房地产,www.cofco-property.cn
000032,深桑达Ａ,深圳市桑达实业股份有限公司,"SHENZHEN SED INDUSTRY CO.,LTD",广东省深圳市南山区科技园科技路1号桑达科技大厦15-17楼,32,深桑达Ａ,1993/10/28,"232,864,320","232,846,733",,,,0,0,华南,广东,深圳市,C 制造业,www.sedind.com
000033,*ST新都,深圳新都酒店股份有限公司,"SHENZHEN CENTURY PLAZA HOTEL CO.,LTD",广东省深圳市春风路一号,33,*ST新都,1994/1/3,"329,402,050","329,400,349",,,,0,0,华南,广东,深圳市,H 住宿餐饮,www.szcphotel.com
000034,深信泰丰,深圳市深信泰丰(集团)股份有限公司,"SHENZHEN SHENXIN TAIFENG GROUP CO., LTD",广东省深圳市宝安区宝城23区华宝新苑(风采轩)5号楼社区服务中心三楼301房及303房(仅作办公),34,深信泰丰,1994/5/9,"357,973,531","340,061,500",,,,0,0,华南,广东,深圳市,S 综合,
000035,中国天楹,中国天楹股份有限公司,China Tianying Inc.,江苏省南通市海安县城黄海大道（西）268号,35,中国天楹,1994/4/8,"567,104,959","188,953,585",,,,0,0,华东,江苏,南通市,C 制造业,www.chinakejian.net
000036,华联控股,华联控股股份有限公司,CHINA UNION HOLDINGS LTD,广东省深圳市深南中路2008号华联大厦11层(1103-1109室),36,华联控股,1994/6/17,"1,123,887,712","1,123,875,233",,,,0,0,华南,广东,深圳市,K 房地产,www.udcgroup.com
000037,深南电Ａ,深圳南山热电股份有限公司,"SHENZHEN NANSHAN POWER STATION CO.,LTD",广东省深圳市南山区月亮湾大道2097号,37,深南电Ａ,1994/7/1,"338,908,150","338,890,027",200037,深南电Ｂ,1994/11/28,"263,854,446","263,850,321",华南,广东,深圳市,D 水电煤气,www.nsrd.com.cn
000038,深大通,深圳大通实业股份有限公司,"SHENZHEN CAPSTONE INDUSTRIAL CO.,LTD",广东省深圳市华侨城东部工业区,38,深大通,1994/8/8,"96,227,998","28,031,998",,,,0,0,华南,广东,深圳市,K 房地产,www.chinadatong.com
000039,中集集团,中国国际海运集装箱(集团)股份有限公司,"CHINA INTERNATIONAL MARINE CONTAINERS (GROUP) CO., LTD",广东省深圳市南山蛇口工业区港湾大道2号中集研发中心8楼,39,中集集团,1994/4/8,"1,236,985,342","1,236,539,316",,,,0,0,华南,广东,深圳市,C 制造业,www.cimc.com
000040,宝安地产,宝安鸿基地产集团股份有限公司,"BAOAN HONGJI REAL ESTATE GROUP CO., LTD.",广东省深圳市罗湖区东门中路1011号鸿基大厦25-27楼,40,宝安地产,1994/8/8,"469,593,364","464,431,124",,,,0,0,华南,广东,深圳市,K 房地产,www.bahjdc.com
000042,中洲控股,深圳市中洲投资控股股份有限公司,"SHENZHEN CENTRALCON INVESTMENT HOLDING CO., LTD",广东省深圳市福田区百花五路长源楼,42,中洲控股,1994/9/21,"478,926,080","478,790,656",,,,0,0,华南,广东,深圳市,K 房地产,www.zztzkg.com
000043,中航地产,中航地产股份有限公司,AVIC REAL ESTATE HOLDING COMPANY LIMITED,广东省深圳市福田区振华路163号飞亚达大厦六楼,43,中航地产,1994/9/28,"666,961,416","666,961,416",,,,0,0,华南,广东,深圳市,K 房地产,www.carec.com.cn
000045,深纺织Ａ,深圳市纺织(集团)股份有限公司,"SHENZHEN TEXTILE (HOLDINGS) CO., LTD",广东省深圳市福田区华强北路3号深纺大厦6楼,45,深纺织Ａ,1994/8/15,"457,021,849","405,563,873",200045,深纺织Ｂ,1994/8/15,"49,500,000","49,430,250",华南,广东,深圳市,F 批发零售,www.chinasthc.com
000046,泛海控股,泛海控股股份有限公司,"OCEANWIDE HOLDINGS CO., LTD.",北京市东城区建国门内大街28号民生金融中心C座22层,46,泛海控股,1994/9/12,"4,557,311,768","4,550,788,268",,,,0,0,华北,北京,北京市,K 房地产,www.fhjs.cn
000048,康达尔,深圳市康达尔(集团)股份有限公司,"SHENZHEN KONDARL(GROUP)CO., LTD",广东省深圳市罗湖区深南东路1086号集浩大厦二、三楼,48,康达尔,1994/11/1,"390,768,671","379,858,689",,,,0,0,华南,广东,深圳市,C 制造业,www.kondarl.com
000049,德赛电池,深圳市德赛电池科技股份有限公司,"SHENZHEN DESAY BATTERY TECHNOLOGY CO.,LTD",广东省深圳市南山区高新科技园南区高新南一道德赛科技大厦14楼,49,德赛电池,1995/3/20,"205,243,738","205,243,738",,,,0,0,华南,广东,深圳市,C 制造业,www.desaybattery.com
000050,深天马Ａ,天马微电子股份有限公司,"TIANMA MICROELECTRONICS CO., LTD",广东省深圳市深南中路中航苑航都大厦22层南,50,深天马Ａ,1995/3/15,"574,237,500","574,220,625",,,,0,0,华南,广东,深圳市,C 制造业,www.tianma.cn
000053,深基地Ｂ,深圳赤湾石油基地股份有限公司,"SHENZHEN CHIWAN PETROLEUM SUPPLY BASE CO., LTD",广东省深圳市南山区赤湾基地楼,,,,0,0,200053,深基地Ｂ,1995/7/28,"111,180,000","111,143,325",华南,广东,深圳市,G 运输仓储,www.chiwanbase.com
000054,建摩B,重庆建设摩托车股份有限公司,"CHONGQING JIANSHE MOTORCYCLE CO.,LTD",重庆市巴南区花溪工业园建设大道1号,,,,0,0,200054,建摩B,1995/7/25,"30,000,000","30,000,000",西南,重庆,重庆市,C 制造业,www.jianshe.com.cn
000055,方大集团,方大集团股份有限公司,"CHINA FANGDA GROUP CO., LTD",广东省深圳市高新区科技南十二路方大大厦,55,方大集团,1996/4/15,"420,958,717","420,179,425",200055,方大Ｂ,1995/11/29,"335,951,188","335,951,188",华南,广东,深圳市,C 制造业,www.fangda.com
000056,深国商,深圳市国际企业股份有限公司,"SHENZHEN INTERNATIONAL ENTERPRISE CO.,LTD",广东省深圳市福田区金田路2028号皇岗商务中心6楼,56,深国商,1996/7/8,"119,212,992","119,212,992",200056,深国商B,1995/10/30,"101,688,192","101,347,761",华南,广东,深圳市,K 房地产,www.china-ia.com
000058,深 赛 格,深圳赛格股份有限公司,"SHENZHEN SEG CO.,LTD",广东省深圳市福田区华强北路群星广场A座三十一楼,58,深 赛 格,1996/12/26,"538,337,692","538,311,003",200058,深赛格B,1996/7/22,"246,461,318","246,461,318",华南,广东,深圳市,L 商务服务,www.segcl.com.cn
000059,华锦股份,北方华锦化学工业股份有限公司,"North Huajin Chemical Industries Co.,Ltd",辽宁省盘锦市双台子区红旗大街,59,华锦股份,1997/1/30,"1,200,506,367","1,200,501,759",,,,0,0,东北,辽宁,盘锦市,C 制造业,www.hjch.com
000060,中金岭南,深圳市中金岭南有色金属股份有限公司,"SHENZHEN ZHONGJIN LINGNAN NONFEMET CO.,LTD",广东省深圳市福田区车公庙深南大道6013号中国有色大厦24-26楼,60,中金岭南,1997/1/23,"2,062,940,880","2,061,039,950",,,,0,0,华南,广东,深圳市,C 制造业,www.nonfemet.com
000061,农 产 品,深圳市农产品股份有限公司,"SHENZHEN AGRICULTURAL PRODUCTS CO., LTD",广东省深圳市罗湖区布吉路1021号天乐大厦22楼,61,农 产 品,1997/1/10,"1,696,964,131","1,605,877,370",,,,0,0,华南,广东,深圳市,L 商务服务,www.szap.com
000062,深圳华强,深圳华强实业股份有限公司,"SHENZHEN HUAQIANG INDUSTRY CO., LTD",广东省深圳市福田区华强北路华强广场A座5楼,62,深圳华强,1997/1/30,"666,949,797","666,949,797",,,,0,0,华南,广东,深圳市,L 商务服务,www.szhq0062.com
000063,中兴通讯,中兴通讯股份有限公司,ZTE CORPORATION,广东省深圳市南山区高新技术产业园科技南路中兴通讯大厦,63,中兴通讯,1997/11/18,"2,807,955,833","2,801,185,255",,,,0,0,华南,广东,深圳市,C 制造业,www.zte.com.cn
000065,北方国际,北方国际合作股份有限公司,NORINCO INTERNATIONAL COOPERATION LTD.,北京市丰台区南四环西路188号总部基地12区47号楼3层(301、302),65,北方国际,1998/6/5,"253,401,907","253,401,907",,,,0,0,华北,北京,北京市,E 建筑业,www.norinco-intl.com
000066,长城电脑,中国长城计算机深圳股份有限公司,"CHINA GREATWALL COMPUTER SHENZHEN CO., LTD",广东省深圳南山区科技工业园长城计算机大厦,66,长城电脑,1997/6/26,"1,323,593,886","1,323,570,126",,,,0,0,华南,广东,深圳市,C 制造业,www.greatwall.cn
000068,华控赛格,深圳华控赛格股份有限公司,"SHENZHEN HUAKONG SEG CO.,LTD.",广东省深圳市大工业区兰竹大道以北CH3主厂房,68,华控赛格,1997/6/11,"896,671,464","896,671,464",,,,0,0,华南,广东,深圳市,C 制造业,www.ssg.com.cn
000069,华侨城Ａ,深圳华侨城股份有限公司,"SHENZHEN OVERSEAS CHINESE TOWN CO.,LTD",广东省深圳市南山区华侨城,69,华侨城Ａ,1997/9/10,"7,271,342,722","3,274,622,131",,,,0,0,华南,广东,深圳市,N 公共环保,www.octholding.com
000070,特发信息,深圳市特发信息股份有限公司,"SHENZHEN SDG INFORMATION CO., LTD",广东省深圳市南山区高新区中区科丰路2号特发信息港大厦B栋18楼,70,特发信息,2000/5/11,"271,000,000","258,565,938",,,,0,0,华南,广东,深圳市,C 制造业,www.sdgi.com.cn
000078,海王生物,深圳市海王生物工程股份有限公司,"SHENZHEN NEPTUNUS BIOENGINEERING CO.,LTD",广东省深圳市南山区郎山二路北海王技术中心科研大楼1栋,78,海王生物,1998/12/18,"731,713,855","730,767,953",,,,0,0,华南,广东,深圳市,F 批发零售,www.neptunus.com
000088,盐 田 港,深圳市盐田港股份有限公司,"SHENZHEN YAN TIAN PORT HOLDINGS CO.,LTD",广东省深圳市盐田区盐田港海港大厦17-20层,88,盐 田 港,1997/7/28,"1,942,200,000","1,942,127,797",,,,0,0,华南,广东,深圳市,G 运输仓储,www.yantian-port.com
000089,深圳机场,深圳市机场股份有限公司,"SHENZHEN AIRPORT CO.,LTD",广东省深圳市宝安区宝安机场第一办公楼三、四层,89,深圳机场,1998/4/20,"1,691,787,662","1,691,716,466",,,,0,0,华南,广东,深圳市,G 运输仓储,www.szairport.com
000090,天健集团,深圳市天健(集团)股份有限公司,"SHENZHEN TAGEN GROUP CO., LTD.",广东省深圳市福田区滨河大道5020号证券大厦21楼,90,天健集团,1999/7/21,"552,530,794","552,530,794",,,,0,0,华南,广东,深圳市,E 建筑业,www.tagen.cn
000096,广聚能源,深圳市广聚能源股份有限公司,"SHENZHEN GUANGJU ENERGY CO., LTD",广东省深圳市南山区海德三道天利中央商务广场22楼,96,广聚能源,2000/7/24,"528,000,000","510,848,000",,,,0,0,华南,广东,深圳市,F 批发零售,www.gj000096.com
000099,中信海直,中信海洋直升机股份有限公司,"CITIC OFFSHORE HELICOPTER CO.,LTD",广东省深圳市罗湖区解放西路188号,99,中信海直,2000/7/31,"571,565,353","571,565,353",,,,0,0,华南,广东,深圳市,G 运输仓储,www.china-cohc.com
000100,TCL 集团,TCL集团股份有限公司,TCL CORPORATION,广东省惠州市仲恺高新技术开发区十九号小区,100,TCL 集团,2004/1/30,"9,452,413,271","8,136,141,654",,,,0,0,华南,广东,惠州市,C 制造业,www.tcl.com
000150,宜华地产,宜华地产股份有限公司,"YIHUA REAL ESTATE CO.,LTD.",广东省汕头市澄海区文冠路北侧,150,宜华地产,2000/8/7,"324,000,000","324,000,000",,,,0,0,华南,广东,汕头市,K 房地产,www.yihuarealestate.com
000151,中成股份,中成进出口股份有限公司,"CHINA NATIONAL COMPLETE PLANT IMPORT & EXPORT CO.,LTD",北京市丰台区南四环西路188号二区8号楼,151,中成股份,2000/9/6,"295,980,000","266,543,967",,,,0,0,华北,北京,北京市,F 批发零售,www.complant-ltd.com
000152,山 航Ｂ,山东航空股份有限公司,"SHANDONG AIRLINES CO.,LTD",山东省济南市遥墙国际机场,,,,0,0,200152,山 航Ｂ,2000/9/12,"140,000,000","140,000,000",华东,山东,济南市,G 运输仓储,www.shandongair.com.cn
000153,丰原药业,安徽丰原药业股份有限公司,"ANHUI FENGYUAN PHARMACEUTICAL CO., LTD",安徽省无为县北门外大街108号,153,丰原药业,2000/9/20,"312,141,230","267,845,200",,,,0,0,华东,安徽,芜湖市,C 制造业,www.bbcayy.com
000155,川化股份,川化股份有限公司,"SICHUAN CHEMICAL CO.,LTD",四川省成都市青白江区大弯镇团结路311号,155,川化股份,2000/9/26,"470,000,000","470,000,000",,,,0,0,西南,四川,成都市,C 制造业,www.scwltd.com
000156,华数传媒,华数传媒控股股份有限公司,"WASU MEDIA HOLDING CO.,LTD",浙江省杭州市滨江区江南大道3850号创新大厦15楼1505室,156,华数传媒,2000/9/6,"1,146,680,902","70,311,480",,,,0,0,华东,浙江,杭州市,R 文化传播,
000157,中联重科,中联重科股份有限公司,"ZOOMLION HEAVY INDUSTRY SCIENCE AND TECHNOLOGY CO., LTD",湖南省长沙市银盆南路361号,157,中联重科,2000/10/12,"6,275,925,164","6,261,171,718",,,,0,0,华中,湖南,长沙市,C 制造业,www.zoomlion.com
000158,常山股份,石家庄常山纺织股份有限公司,"SHIJIAZHUANG CHANGSHAN TEXTILE CO.,LTD",河北省石家庄市和平东路183号,158,常山股份,2000/7/24,"718,861,000","718,859,500",,,,0,0,华北,河北,石家庄市,C 制造业,www.changshantex.com
000159,国际实业,新疆国际实业股份有限公司,"XINJIANG INTERNATIONAL INDUSTRY CO.,LTD",新疆维吾尔自治区乌鲁木齐市高新区北京南路358号大成国际9楼,159,国际实业,2000/9/26,"481,139,294","481,139,294",,,,0,0,西北,新疆,乌鲁木齐市,F 批发零售,www.xjgjsy.com
000160,南江B,承德南江股份有限公司,"CHENGDE NANJIANG CO., LTD.",河北省承德县下板城镇,,,,0,0,200160,南江B,2000/9/29,"461,520,000","461,515,575",华北,河北,承德市,K 房地产,
000168,雷伊B,广东雷伊(集团)股份有限公司,"GUANGDONG RIEYS GROUP CO.,LTD",广东省普宁市军埠镇美新工业园,,,,0,0,200168,雷伊B,2000/10/27,"154,575,000","154,575,000",华南,广东,揭阳市,K 房地产,www.rieys.com
000301,东方市场,江苏吴江中国东方丝绸市场股份有限公司,"Jiangsu Wujiang China Eastern Silk Market Co.,Ltd",江苏省吴江市盛泽镇市场路丝绸股份大厦,301,东方市场,2000/5/29,"1,218,236,445","1,218,236,445",,,,0,0,华东,江苏,苏州市,D 水电煤气,www.cesm.com.cn
000333,美的集团,美的集团股份有限公司,"Midea Group CO., LTD",广东省佛山市顺德区北滘镇美的大道6号美的总部大楼B区26-28楼,333,美的集团,2013/9/18,"4,215,808,472","1,709,768,025",,,,0,0,华南,广东,佛山市,C 制造业,www.midea.com.cn
000338,潍柴动力,潍柴动力股份有限公司,"Weichai Power Co., Ltd.",山东省潍坊市高新技术产业开发区福寿东街197号甲,338,潍柴动力,2007/4/30,"1,513,549,639","971,049,175",,,,0,0,华东,山东,潍坊市,C 制造业,www.weichaipower.com
000400,许继电气,许继电气股份有限公司,"XJ ELECTRIC CO.,LTD",河南省许昌市许继大道1298号,400,许继电气,1997/4/18,"1,008,327,309","594,332,895",,,,0,0,华中,河南,许昌市,C 制造业,www.xjec.com
000401,冀东水泥,唐山冀东水泥股份有限公司,"TANGSHAN JIDONG CEMENT CO.,LTD",河北省唐山市丰润区林荫路,401,冀东水泥,1996/6/14,"1,347,522,914","1,212,333,671",,,,0,0,华北,河北,唐山市,C 制造业,www.jdsn.com.cn
000402,金 融 街,金融街控股股份有限公司,"FINANCIAL STREET HOLDINGS CO., LTD.",北京市西城区金融大街丙17号北京银行大厦11层,402,金 融 街,1996/6/26,"3,027,079,809","3,024,393,105",,,,0,0,华北,北京,北京市,K 房地产,www.jrjkg.com
000403,*ST生化,振兴生化股份有限公司,"Zhenxing Biopharmaceutical and Chemical Co., Ltd.",山西省太原市长治路227号高新国际大厦16层,403,*ST生化,1996/6/28,"272,577,599","178,778,468",,,,0,0,华北,山西,太原市,C 制造业,www.999yichun.cn
000404,华意压缩,华意压缩机股份有限公司,"HUAYI COMPRESSOR CO., LTD",江西省景德镇市高新区长虹大道1号,404,华意压缩,1996/6/19,"559,623,953","495,508,884",,,,0,0,华东,江西,景德镇市,C 制造业,www.hua-yi.cn
000407,胜利股份,山东胜利股份有限公司,"SHANDONG SHENGLI CO., LTD",山东省济南市高新区天辰路2238号,407,胜利股份,1996/7/3,"649,232,044","644,903,915",,,,0,0,华东,山东,济南市,C 制造业,www.vicome.com
000408,金谷源,金谷源控股股份有限公司,"JINGUYUAN HOLDING CO.,LTD",河北省邯郸市峰峰矿区彭城镇彭东街9号,408,金谷源,1996/6/28,"252,301,500","252,300,600",,,,0,0,华北,河北,邯郸市,F 批发零售,
000409,山东地矿,山东地矿股份有限公司,"SHANDONG GEO-MINERAL CO., LTD",山东省济南市高新区新宇路750号5号楼,409,山东地矿,1996/6/27,"472,709,345","276,133,261",,,,0,0,华东,山东,济南市,B 采矿业,
000410,沈阳机床,沈阳机床股份有限公司,"SHENYANG MACHINE TOOL CO.,LTD",辽宁省沈阳经济技术开发区开发大路17甲1号,410,沈阳机床,1996/7/18,"765,470,884","738,348,854",,,,0,0,东北,辽宁,沈阳市,C 制造业,www.smtcl.com
000411,英特集团,浙江英特集团股份有限公司,"ZHEJIANG INT’L GROUP CO.,LTD",浙江省杭州市滨江区西兴街道江南大道96号,411,英特集团,1996/7/16,"207,449,946","203,638,446",,,,0,0,华东,浙江,杭州市,F 批发零售,www.intmedic.com
000413,东旭光电,东旭光电科技股份有限公司,"Dongxu Optoelectronic Technology Co., Ltd.",河北省石家庄市高新技术产业开发区黄河大道9号,413,东旭光电,1996/9/25,"2,409,000,000","2,018,661,831",200413,东旭B,1996/7/8,"300,000,000","300,000,000",华北,河北,石家庄市,C 制造业,
000415,渤海租赁,渤海租赁股份有限公司,"BOHAI LEASING CO.,LTD",新疆维吾尔自治区乌鲁木齐市黄河路22号,415,渤海租赁,1996/7/16,"1,774,303,476","1,269,174,241",,,,0,0,西北,新疆,乌鲁木齐市,L 商务服务,www.bohaileasing.com
000416,民生控股,民生控股股份有限公司,"Minsheng Holdings Co.,Ltd",山东省青岛市崂山区株州路151号,416,民生控股,1996/7/19,"531,871,494","531,610,254",,,,0,0,华东,山东,青岛市,F 批发零售,
000417,合肥百货,合肥百货大楼集团股份有限公司,"HEFEI DEPARTMENT STORE GROUP CO.,LTD",安徽省合肥市长江中路150号,417,合肥百货,1996/8/12,"779,884,200","778,597,588",,,,0,0,华东,安徽,合肥市,F 批发零售,www.hfbh.com.cn
000418,小天鹅Ａ,无锡小天鹅股份有限公司,"WUXI LITTLE SWAN CO.,LTD",江苏省无锡市国家高新技术产业开发区长江南路18号,418,小天鹅Ａ,1997/3/28,"441,451,892","437,761,002",200418,小天鹅Ｂ,1996/7/18,"191,035,872","191,035,872",华东,江苏,无锡市,C 制造业,www.littleswan.com
000419,通程控股,长沙通程控股股份有限公司,"CHANGSHA TONGCHENG HOLDINGS CO.,LTD",湖南省长沙市雨花区劳动西路589号,419,通程控股,1996/8/16,"543,582,655","543,289,983",,,,0,0,华中,湖南,长沙市,F 批发零售,www.e-tongcheng.com
000420,吉林化纤,吉林化纤股份有限公司,"JILIN CHEMICAL FIBRE CO ., LTD",吉林省吉林市昌邑区九站街516-1号,420,吉林化纤,1996/8/2,"378,257,464","318,246,781",,,,0,0,东北,吉林,吉林市,C 制造业,www.jlcfc.com
